Name,Quantity,Price,Thumbnail_Image,Full_Product_Image,Detailed_Description,Image_File_Name
Mint Leaves (Without Roots) (Pudina),100 g,₹48,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/b2a44efa-f3e4-4db8-8b1a-a1e10c9da956.jpg?ts=1711473368","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/b2a44efa-f3e4-4db8-8b1a-a1e10c9da956.jpg?ts=1711473368",Mint Leaves cleaned and roots removed with only stem and leaves,Mint_Leaves__Without_Roots___Pudina_.jpg
Curry Leaves (Kadi Patta),50 g,₹19,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/80ad3470-8d3c-4d72-8302-68e7ce7c4da8.jpg?ts=1713944041","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/80ad3470-8d3c-4d72-8302-68e7ce7c4da8.jpg?ts=1713944041","Curry Leaves commonly called as Kadhi Patta, are highly aromatic and have a unique flavor with notes of citrus. They're used in cooking to add flavor to dishes, such as curries, rice dishes, and dals. Fresh or dried curry leaves are used whole, crushed, and chopped.",Curry_Leaves__Kadi_Patta_.jpg
Broccoli,(300-400) g,₹74,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/46de3e21-9668-438c-9ea2-51d49df57d25.jpg?ts=1717782417","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/46de3e21-9668-438c-9ea2-51d49df57d25.jpg?ts=1717782417","Broccoli is a nutritious vegetable that belongs to the cruciferous family, along with cauliflower, cabbage, and kale. Known for its mild, slightly bitter flavor and crunchy texture. It can be eaten raw or cooked and is versatile in various dishes and salads.",Broccoli.jpg
Safal Frozen Green Peas,500 g,₹122,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/78b2ad59-e240-4a53-8e9d-10d0fbebf575.jpg?ts=1723098387","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/78b2ad59-e240-4a53-8e9d-10d0fbebf575.jpg?ts=1723098387","Experience the amazing taste of green peas that can be enjoyed round-the-year. These Safal Frozen Green Peas are known for their superior quality. Sourced from the choicest farms and have been picked with great care. The taste is as good as fresh peas and will save you the work of shelling the peas. Your health is of top-priority; that is why these have been processed under hygienic conditions. Be it peas pulao, matar paneer, or aloo matar, your dishes will be lip-smackingly delicious with Safal Frozen Peas.",Safal_Frozen_Green_Peas.jpg
SPT American Frozen Sweet Corn,500 g,₹82,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/44a825b9-1db5-436b-b781-d81c4723960a.jpg?ts=1723098556","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/44a825b9-1db5-436b-b781-d81c4723960a.jpg?ts=1723098556",N/A,SPT_American_Frozen_Sweet_Corn.jpg
Safal Frozen Mixed Vegetables,500 g,₹77,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/b42edce3-65a6-4a2a-93de-650cd98b9fc4.jpg?ts=1723098798","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/b42edce3-65a6-4a2a-93de-650cd98b9fc4.jpg?ts=1723098798",N/A,Safal_Frozen_Mixed_Vegetables.jpg
Mixed Sprouts,200 g,₹38,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/b62f8a2c-ffd7-4f88-aab2-beb50352a3d6.jpg?ts=1711440869","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/b62f8a2c-ffd7-4f88-aab2-beb50352a3d6.jpg?ts=1711440869","Sprouts are an excellent source of antioxidants that protect us from the ongoing effects of aging and prevent cell destruction. Sprouts will be a perfect addition to your diet, because of its several nutritional constituents like vitamins and minerals. Sprouts are best when eaten raw and fresh.",Mixed_Sprouts.jpg
Potato - Pack of 2 (Aloo),2 x (0.95-1.05) kg,₹61,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8e5bf8aa-b571-4c3a-979d-29f4a4080488.jpg?ts=1734536317","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/da/cms-assets/cms/product/8e5bf8aa-b571-4c3a-979d-29f4a4080488.jpg?ts=1734536317","Potato is a starchy vegetable that is widely used in many recipes. Due to its bland taste, peeled potatoes can be mixed with a number of vegetables. Potatoes are also used in making chips and snacks.",Potato_-_Pack_of_2__Aloo_.jpg
Bitter Gourd (Karela),(250-300) g,₹19,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/81e041b4-4211-4d73-ba0f-dd2d2563d0e6.jpg?ts=1711472719","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/81e041b4-4211-4d73-ba0f-dd2d2563d0e6.jpg?ts=1711472719",Bitter Gourd is often used in making dry vegetable curries. It is also taken in the form of juice as it contains many antioxidants and essential vitamins.,Bitter_Gourd__Karela_.jpg
Baby Onion (Pyaz),250 g,₹11,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/eaed1dde-b653-4eb2-a35c-478d70087d03.jpg?ts=1711010248","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/eaed1dde-b653-4eb2-a35c-478d70087d03.jpg?ts=1711010248","Onions are among the richest food sources of a nutrient called quercetin, which is known to prohibit the activity or creation of cancer-causing elements. A quercetin-rich diet has been associated with a lower risk of developing lung cancer. Onions contain organic sulfur compounds.",Baby_Onion__Pyaz_.jpg
Cherry Tomatoes (Cherry Tomatos),200 g,₹31,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7a41b4e1-9b61-4edb-a816-22a7f702449a.jpg?ts=1737628237","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/da/cms-assets/cms/product/7a41b4e1-9b61-4edb-a816-22a7f702449a.jpg?ts=1737628237","Cherry tomatoes add brightness and freshness to a variety of dishes,making them a delicious and colorful addition to meals. Enjoy cherry tomatoes raw in salads,pasta dishes,or as a flavorful topping for pizzas and bruschetta.",Cherry_Tomatoes__Cherry_Tomatos_.jpg
SPT Frozen Green Peas,500 g,₹86,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/85d6c9b6-42c2-4de6-9170-f94ac2f73346.jpg?ts=1723375307","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/85d6c9b6-42c2-4de6-9170-f94ac2f73346.jpg?ts=1723375307",N/A,SPT_Frozen_Green_Peas.jpg
Green Peas (Peeled) (Matar),200 g,₹84,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/9193b229-3ca3-4cce-9156-920f3e9761a8.jpg?ts=1711017376","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/9193b229-3ca3-4cce-9156-920f3e9761a8.jpg?ts=1711017376",Make everyday cooking simpler with these Peeled Green Peas. Just stock your fridge with these green pearls and use them according to your convenience. Simply add a handful to your dishes to add more character.,Green_Peas__Peeled___Matar_.jpg
Arvi,(250-300) g,₹21,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/c399c46f-91e7-4ad0-8211-20e167fb1fb7.jpg?ts=1711472717","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/c399c46f-91e7-4ad0-8211-20e167fb1fb7.jpg?ts=1711472717","Arbi, also known as taro root or colocasia, is a starchy tuber used in many cuisines. It has a mild flavor and creamy texture when cooked, often used in curries, stir-fries, and snacks. Incorporate arbi into your cooking for its unique taste and versatility!",Arvi.jpg
Sweet Corn - Packet,(180-200) g,₹27,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/bc557199-ca1a-4687-9e49-9a0f4469a43d.jpg?ts=1711442493","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/bc557199-ca1a-4687-9e49-9a0f4469a43d.jpg?ts=1711442493","Sweet Corn's kernels are tender, delicious and eaten as a vegetable in many cuisines worldwide. It can be consumed raw or added to salads, soups, sandwiches, chats, rolls and pastas.",Sweet_Corn_-_Packet.jpg
Small Purple Brinjal (Baingan),(250-300) g,₹15,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/images/products/sliding_image/14795a.jpg?ts=1698148037","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/14795a.jpg?ts=1698148037","Enjoy the rich flavor of Small Purple Brinjal. Packed with antioxidants, vitamins, and fiber, it supports heart health and aids digestion. Perfect for grilling, roasting, or adding to curries, this versatile vegetable adds nutrition and taste to your meals.",Small_Purple_Brinjal__Baingan_.jpg
